Darkness A|暗闇A
Cracked 4 Part Floor (Charcoal)|ひび割れた4分割床（暗灰色）
Square Floor (Gray)|正方形床（灰色）
Square Floor (Orange)|正方形床（オレンジ色）
Tile Floor A (Turquoise)|タイル床A（ターコイズ色）
Tile Floor B (Brown)|タイル床B（茶色）
Tile Floor C (Multicolor)|タイル床C（マルチカラー）
Tile Floor D (2color)|タイル床D（2カラー）
Tile Floor E (Mirror, Green)|タイル床E（鏡・緑色）
Tile Floor F (Mirror, Blue)|タイル床F（鏡・青）
Square Floor (Dark Gray)|正方形床（暗い灰色）
Square Floor (Dark Orange)|正方形床（暗いオレンジ色）
Tile Floor G (Dark Turquoise)|タイル床G（暗いターコイズ色）
Tile Floor H (Dark Brown)|タイル床H（暗い茶色）
Tile Floor I (Dark Multicolor)|タイル床I（暗いマルチカラー）
Tile Floor J (Gray Hexagon)|タイル床J（灰色亀甲）
Tatami (Green)|畳（緑色）
Tatami (Brown)|畳（茶色）
Cracked Square Floor (Gray)|ひび割れた正方形床（灰色）
Cracked Square Floor (Orange)|ひび割れた正方形床（オレンジ色）
Cracked Tile Floor A (Turquoise)|ひび割れたタイル床A（ターコイズ色）
Cracked Tile Floor B (Brown)|ひび割れたタイル床B（茶色）
Cracked Tile Floor C (Multicolor)|ひび割れたタイル床C（マルチカラー）
Tile Floor K (Orange Hexagon)|タイル床K（オレンジ色亀甲）
Bamboo Floor (Vertical)|竹床（縦）
Bamboo Floor (Horizontal)|竹床（横）
Stairs A (Wood, Left)|階段A（木製・左）
Stairs A (Wood, Center)|階段A（木製・中央）
Stairs A (Wood, Right)|階段A（木製・右）
Stairs A (Wood)|階段A（木製）
Stairs B (Brick, Left)|階段B（れんが製・左）
Stairs B (Brick, Center)|階段B（れんが製・中央）
Stairs B (Brick, Right)|階段B（れんが製・右）
Stairs B (Brick)|階段B（れんが製）
Stairs C (Stone, Left)|階段C（石製・左）
Stairs C (Stone, Center)|階段C（石製・中央）
Stairs C (Stone, Right)|階段C（石製・右）
Stairs C (Stone)|階段C（石製）
Stairs D (Orange Stone, Left)|階段D（オレンジ石製・左）
Stairs D (Orange Stone, Center)|階段D（オレンジ石製・中央）
Stairs D (Orange Stone, Right)|階段D（オレンジ石製・右）
Stairs D (Orange Stone)|階段D（オレンジ石製）
Stairs E (Red Carpet, Left)|階段E（赤じゅうたん・左）
Stairs E (Red Carpet, Center)|階段E（赤じゅうたん・中央）
Stairs E (Red Carpet, Right)|階段E（赤じゅうたん・右）
Stairs E (Red Carpet)|階段E（赤じゅうたん）
Stairs F (Blue Carpet, Left)|階段F（青じゅうたん・左）
Stairs F (Blue Carpet, Center)|階段F（青じゅうたん・中央）
Stairs F (Blue Carpet, Right)|階段F（青じゅうたん・右）
Stairs F (Blue Carpet)|階段F（青じゅうたん）
Relief Floor Tile A|レリーフ床A
Relief Floor Tile B (Knife)|レリーフ床B（ナイフ）
Relief Floor Tile C (Sword)|レリーフ床C（剣）
Relief Floor Tile D (Axe)|レリーフ床D（斧）
Relief Floor Tile E (Club)|レリーフ床E（こん棒）
Relief Floor Tile F (Hammer)|レリーフ床F（ハンマー）
Relief Floor Tile G (Spear)|レリーフ床G（槍）
Relief Floor Tile H (Staff)|レリーフ床H（杖）
Relief Floor Tile I (Claw)|レリーフ床I（爪）
Relief Floor Tile J (Bow)|レリーフ床J（弓）
Relief Floor Tile K (Crossbow)|レリーフ床K（石弓）
Relief Floor Tile L (Gun)|レリーフ床L（銃）
Relief Floor Tile M (Shield)|レリーフ床M（盾）
Relief Floor Tile N (Helmet)|レリーフ床N（兜）
Relief Floor Tile O (Armor)|レリーフ床O（鎧）
Relief Floor Tile P (Crack)|レリーフ床P（ひび割れ）
